label,entity,voting,ownerCount,rofr,dragTag,sectionCount,paragraphs,h3,h4,tabs,pageBreaks,numbered,tables,rFontsRuns,bodyLen
M_C-Corp_unanimous_rofrY_dtY_banktwo_1own,C-Corp,unanimous,1,true,true,77,408,65,2,210,1,76,1,91,475567
M_C-Corp_unanimous_rofrY_dtY_banktwo_2own,C-Corp,unanimous,2,true,true,77,412,65,2,210,1,76,1,92,478944
M_C-Corp_unanimous_rofrY_dtY_banktwo_3own,C-Corp,unanimous,3,true,true,77,418,65,2,217,1,76,1,93,483599
M_C-Corp_unanimous_rofrY_dtY_bankone_1own,C-Corp,unanimous,1,true,true,77,408,65,2,210,1,76,1,91,475567
M_C-Corp_unanimous_rofrY_dtY_bankone_2own,C-Corp,unanimous,2,true,true,77,412,65,2,210,1,76,1,92,478944
M_C-Corp_unanimous_rofrY_dtY_bankone_3own,C-Corp,unanimous,3,true,true,77,418,65,2,217,1,76,1,93,483599
M_C-Corp_unanimous_rofrY_dtN_banktwo_1own,C-Corp,unanimous,1,true,false,77,406,65,2,210,1,76,1,91,470436
M_C-Corp_unanimous_rofrY_dtN_banktwo_2own,C-Corp,unanimous,2,true,false,77,410,65,2,210,1,76,1,92,473813
M_C-Corp_unanimous_rofrY_dtN_banktwo_3own,C-Corp,unanimous,3,true,false,77,416,65,2,217,1,76,1,93,478468
M_C-Corp_unanimous_rofrY_dtN_bankone_1own,C-Corp,unanimous,1,true,false,77,406,65,2,210,1,76,1,91,470436
M_C-Corp_unanimous_rofrY_dtN_bankone_2own,C-Corp,unanimous,2,true,false,77,410,65,2,210,1,76,1,92,473813
M_C-Corp_unanimous_rofrY_dtN_bankone_3own,C-Corp,unanimous,3,true,false,77,416,65,2,217,1,76,1,93,478468
M_C-Corp_unanimous_rofrN_dtY_banktwo_1own,C-Corp,unanimous,1,false,true,74,401,62,2,208,1,73,1,91,460642
M_C-Corp_unanimous_rofrN_dtY_banktwo_2own,C-Corp,unanimous,2,false,true,74,405,62,2,208,1,73,1,92,464019
M_C-Corp_unanimous_rofrN_dtY_banktwo_3own,C-Corp,unanimous,3,false,true,74,411,62,2,215,1,73,1,93,468674
M_C-Corp_unanimous_rofrN_dtY_bankone_1own,C-Corp,unanimous,1,false,true,74,401,62,2,208,1,73,1,91,460642
M_C-Corp_unanimous_rofrN_dtY_bankone_2own,C-Corp,unanimous,2,false,true,74,405,62,2,208,1,73,1,92,464019
M_C-Corp_unanimous_rofrN_dtY_bankone_3own,C-Corp,unanimous,3,false,true,74,411,62,2,215,1,73,1,93,468674
M_C-Corp_unanimous_rofrN_dtN_banktwo_1own,C-Corp,unanimous,1,false,false,74,399,62,2,208,1,73,1,91,455511
M_C-Corp_unanimous_rofrN_dtN_banktwo_2own,C-Corp,unanimous,2,false,false,74,403,62,2,208,1,73,1,92,458888
M_C-Corp_unanimous_rofrN_dtN_banktwo_3own,C-Corp,unanimous,3,false,false,74,409,62,2,215,1,73,1,93,463543
M_C-Corp_unanimous_rofrN_dtN_bankone_1own,C-Corp,unanimous,1,false,false,74,399,62,2,208,1,73,1,91,455511
M_C-Corp_unanimous_rofrN_dtN_bankone_2own,C-Corp,unanimous,2,false,false,74,403,62,2,208,1,73,1,92,458888
M_C-Corp_unanimous_rofrN_dtN_bankone_3own,C-Corp,unanimous,3,false,false,74,409,62,2,215,1,73,1,93,463543
